Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
D82	55908	0	0	0	0	0	0	0	39005	0	69.77	nan	55908	0	27954	0	27954	0	30004	0	53.67	nan	31838	0	7167	0	12.82	nan	1054	0	495	0	55908
D83	91132	0	0	0	0	0	0	0	64600	0	70.89	nan	91132	0	45566	0	45566	0	49720	0	54.56	nan	52588	0	12012	0	13.18	nan	1586	0	663	0	91132
D84	37808	0	0	0	0	0	0	0	26557	0	70.24	nan	37808	0	18904	0	18904	0	20452	0	54.09	nan	21716	0	4841	0	12.8	nan	682	0	307	0	37808
D85	89304	0	0	0	0	0	0	0	64096	0	71.77	nan	89304	0	44652	0	44652	0	49424	0	55.34	nan	52428	0	11668	0	13.07	nan	1600	0	761	0	89304
D86	86330	0	0	0	0	0	0	0	61488	0	71.22	nan	86330	0	43165	0	43165	0	47738	0	55.3	nan	50414	0	11074	0	12.83	nan	1518	0	722	0	86330
D87	144434	0	0	0	0	0	0	0	102714	0	71.11	nan	144434	0	72217	0	72217	0	79736	0	55.21	nan	84022	0	18692	0	12.94	nan	2434	0	1191	0	144434
D88	473912	0	0	0	0	0	0	0	337006	0	71.11	nan	473912	0	236956	0	236956	0	261340	0	55.15	nan	275176	0	61830	0	13.05	nan	7634	0	3514	0	473912
D89	43276	0	0	0	0	0	0	0	30705	0	70.95	nan	43276	0	21638	0	21638	0	23660	0	54.67	nan	24908	0	5797	0	13.4	nan	720	0	387	0	43276
D9	64982	0	0	0	0	0	0	0	43918	0	67.58	nan	64982	0	32491	0	32491	0	33722	0	51.89	nan	35544	0	8374	0	12.89	nan	1026	0	473	0	64982
D90	39702	0	0	0	0	0	0	0	28172	0	70.96	nan	39702	0	19851	0	19851	0	21608	0	54.43	nan	22872	0	5300	0	13.35	nan	686	0	308	0	39702
D91	61574	0	0	0	0	0	0	0	43988	0	71.44	nan	61574	0	30787	0	30787	0	33872	0	55.01	nan	35870	0	8118	0	13.18	nan	1088	0	507	0	61574
D92	62036	0	0	0	0	0	0	0	44303	0	71.41	nan	62036	0	31018	0	31018	0	34274	0	55.25	nan	36280	0	8023	0	12.93	nan	1162	0	573	0	62036
D93	45232	0	0	0	0	0	0	0	32349	0	71.52	nan	45232	0	22616	0	22616	0	24796	0	54.82	nan	26334	0	6015	0	13.3	nan	840	0	442	0	45232
D94	42436	0	0	0	0	0	0	0	30259	0	71.31	nan	42436	0	21218	0	21218	0	23254	0	54.8	nan	24540	0	5719	0	13.48	nan	726	0	353	0	42436
E1	1364	0	0	0	0	0	0	0	1283	0	94.06	nan	1364	0	682	0	682	0	1226	0	89.88	nan	1268	0	15	0	1.1	nan	8	0	4	0	1364
E10	1050	0	0	0	0	0	0	0	856	0	81.52	nan	1050	0	525	0	525	0	788	0	75.05	nan	834	0	22	0	2.1	nan	4	0	0	0	1050
E11	380	0	0	0	0	0	0	0	311	0	81.84	nan	380	0	190	0	190	0	302	0	79.47	nan	306	0	5	0	1.32	nan	0	0	0	0	380
E12	266	0	0	0	0	0	0	0	220	0	82.71	nan	266	0	133	0	133	0	202	0	75.94	nan	220	0	0	0	0.0	nan	2	0	2	0	266
E13	246	0	0	0	0	0	0	0	229	0	93.09	nan	246	0	123	0	123	0	226	0	91.87	nan	226	0	3	0	1.22	nan	0	0	0	0	246
E14	408	0	0	0	0	0	0	0	387	0	94.85	nan	408	0	204	0	204	0	372	0	91.18	nan	378	0	9	0	2.21	nan	0	0	0	0	408
E15	660632	0	0	0	0	0	0	0	619242	0	93.73	nan	660632	0	330316	0	330316	0	565434	0	85.59	nan	604286	0	14956	0	2.26	nan	11030	0	7925	0	660632
E16	410	0	0	0	0	0	0	0	334	0	81.46	nan	410	0	205	0	205	0	302	0	73.66	nan	312	0	22	0	5.37	nan	0	0	0	0	410
E17	1218	0	0	0	0	0	0	0	1077	0	88.42	nan	1218	0	609	0	609	0	994	0	81.61	nan	1028	0	49	0	4.02	nan	14	0	3	0	1218
E18	932	0	0	0	0	0	0	0	807	0	86.59	nan	932	0	466	0	466	0	758	0	81.33	nan	794	0	13	0	1.39	nan	6	0	6	0	932
E19	490	0	0	0	0	0	0	0	433	0	88.37	nan	490	0	245	0	245	0	402	0	82.04	nan	426	0	7	0	1.43	nan	6	0	4	0	490
E20	648	0	0	0	0	0	0	0	596	0	91.98	nan	648	0	324	0	324	0	576	0	88.89	nan	592	0	4	0	0.62	nan	6	0	6	0	648
