,sampID,elongata_L,elongata_H,sublineata_L,sublineata_H,carinulata_L,carinulata_H,carinata_L,carinata_H,elongata,sublineata,carinulata,carinata,popID
204,F60,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
205,F61,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
206,F62,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
207,F63,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,6KS
208,F64,0,0.004,0,0.003,0,0.001,0.992,1,0,0.001,0,0.999,6KS
209,F65,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
210,F66,0.999,1,0,0.001,0,0.001,0,0.001,1,0,0,0,16TX
211,F67,0,0.001,0,0.007,0,0.001,0.993,1,0,0.001,0,0.999,8OK
212,F68,0,0.01,0,0.002,0,0.001,0.989,1,0.001,0,0,0.998,8OK
213,F69,0,0.001,0,0.002,0,0.001,0.997,1,0,0,0,1,8OK
214,F70,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,8OK
215,F71,0,0.001,0,0.001,0.998,1,0,0.001,0,0,1,0,5CO
216,F72,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
217,F73,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
218,F74,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,5CO
219,F75,0,0.001,0.988,1,0,0.012,0,0.001,0,0.997,0.002,0,27NM
220,F76,0,0.001,0.999,1,0,0.001,0,0.001,0,1,0,0,27NM
221,F77,0,0.001,0.998,1,0,0.001,0,0.001,0,1,0,0,27NM
222,F78,0.02,0.069,0.873,0.949,0,0.001,0,0.093,0.043,0.914,0,0.043,27NM
223,F79,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,8OK
224,F80,0,0.001,0,0.088,0,0.001,0.912,1,0,0.022,0,0.978,8OK
225,F81,0,0.001,0,0.004,0,0.001,0.996,1,0,0.001,0,0.999,8OK
226,F82,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,8OK
227,F83,0,0.023,0.977,1,0,0.001,0,0.001,0.006,0.993,0,0,26NM
228,F84,0.018,0.052,0.867,0.94,0,0.001,0.024,0.1,0.034,0.905,0,0.06,26NM
229,F85,0.998,1,0,0.001,0,0.001,0,0.001,1,0,0,0,15TX
230,F86,0,0.001,0,0.001,0,0.01,0.989,1,0,0,0.001,0.998,15TX
231,F87,0.041,0.106,0,0.003,0,0.025,0.89,0.953,0.072,0,0.004,0.923,15TX
232,F88,0,0.001,0,0.001,0,0.001,0.998,1,0,0,0,1,15TX
233,F89,0,0.001,0,0.016,0,0.001,0.984,1,0,0.002,0,0.998,28NM
234,F9,0,0.001,0,0.001,0.999,1,0,0.001,0,0,1,0,11CO
