sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
H18	253576	80888	0.319	39880	58521	0	114167	0	0
H19	159146	66535	0.418	32591	46972	0	45639	0	0
H2	133058	54233	0.408	26879	41973	0	36852	0	0
H20	211468	87289	0.413	43141	61024	0	63155	0	0
H21	160094	65064	0.406	32182	52211	0	42819	0	0
H22	165398	67044	0.405	33122	51599	0	46755	0	0
H23	193888	79137	0.408	39059	58909	0	55842	0	0
H24	19484	7895	0.405	3833	5711	0	5878	0	0
H25	154846	63018	0.407	31312	45830	0	45998	0	0
H26	125194	45884	0.367	22623	34635	0	44675	0	0
H27	142168	57641	0.405	28544	44205	0	40322	0	0
H28	80846	32523	0.402	16053	24058	0	24265	0	0
H29	142330	130586	0.917	64951	7148	0	4596	0	0
H3	149752	60070	0.401	29677	51499	0	38183	0	0
H30	154758	143096	0.925	71238	7303	0	4359	0	0
H31	62392	56688	0.909	28219	3308	0	2396	0	0
H32	88124	80372	0.912	40005	4688	0	3064	0	0
H33	86728	35387	0.408	17479	28285	0	23056	0	0
H34	64024	26278	0.410	13054	20771	0	16975	0	0
H35	102650	42011	0.409	20810	34637	0	26002	0	0
H36	96632	40516	0.419	20011	32239	0	23877	0	0
H37	62558	57845	0.925	28773	3199	0	1514	0	0
H38	73440	67871	0.924	33749	3704	0	1865	0	0
H39	82968	75980	0.916	37824	4219	0	2769	0	0
H4	151034	139498	0.924	69424	7239	0	4297	0	0
H40	23610	21752	0.921	10836	1177	0	681	0	0
H41	343630	55783	0.162	27586	42034	0	245813	0	0
H42	49440	11858	0.240	5932	8211	0	29371	0	0
H43	130802	119432	0.913	59438	6972	0	4398	0	0
H44	172730	159950	0.926	79595	8360	0	4420	0	0
H45	136632	127189	0.931	63415	6097	0	3346	0	0
H46	116124	106964	0.921	53192	5921	0	3239	0	0
H47	97204	39909	0.411	19727	31534	0	25761	0	0
H48	89414	35852	0.401	17719	30555	0	23007	0	0
H49	152950	61947	0.405	30486	51814	0	39189	0	0
H5	121594	112100	0.922	55802	5970	0	3524	0	0
H50	102186	41073	0.402	20319	35498	0	25615	0	0
H51	52496	47696	0.909	23724	2768	0	2032	0	0
H52	97354	89829	0.923	44721	4774	0	2751	0	0
H53	160182	148815	0.929	74094	7383	0	3984	0	0
H54	44734	40753	0.911	20267	2123	0	1858	0	0
H55	100740	41105	0.408	20315	34828	0	24807	0	0
H56	26604	10786	0.405	5336	9197	0	6621	0	0
H57	83304	32680	0.392	16140	29292	0	21332	0	0
H58	160036	64260	0.402	31714	54820	0	40956	0	0
H59	155316	143398	0.923	71425	7617	0	4301	0	0
H6	99594	92095	0.925	45837	4791	0	2708	0	0
H60	81532	75054	0.921	37386	4102	0	2376	0	0
H61	736	189	0.257	95	255	0	292	0	0
H62	137384	127317	0.927	63345	6454	0	3613	0	0
H63	103656	40794	0.394	20117	31488	0	31374	0	0
H64	201274	83851	0.417	41412	61485	0	55938	0	0
H65_2019	48844	34468	0.706	16607	1940	0	12436	0	0
H65_rep	182298	149295	0.819	74321	7777	0	25226	0	0
H66_2019	11138	10055	0.903	4907	577	0	506	0	0
H66_rep	298062	267959	0.899	133267	15574	0	14529	0	0
H67	114974	47269	0.411	23483	35548	0	32157	0	0
H68	155150	64887	0.418	32092	49321	0	40942	0	0
H69_2019	53482	46821	0.875	22636	2568	0	4093	0	0
H69_rep	167660	147722	0.881	73822	9611	0	10327	0	0
H7	116672	105927	0.908	52726	6241	0	4504	0	0
H70	71036	29866	0.420	14731	21086	0	20084	0	0
H71	141778	43758	0.309	21506	32120	0	65900	0	0
H72	135516	56679	0.418	27928	40349	0	38488	0	0
H8_2019	10744	7297	0.679	3525	391	0	3056	0	0
H8_rep	220708	187684	0.850	93525	10087	0	22937	0	0
H9	212170	84512	0.398	41705	63390	0	64268	0	0
I01	168088	141590	0.842	70678	11215	0	15283	0	0
I02	184396	161787	0.877	80718	10402	0	12207	0	0
I03	192928	170818	0.885	84994	9961	0	12149	0	0
I04	159788	135742	0.850	67565	10884	0	13162	0	0
I05	242822	208897	0.860	104243	14085	0	19840	0	0
I06	207240	187053	0.903	92990	10761	0	9426	0	0
I07	160216	146566	0.915	72777	7906	0	5744	0	0
